ID,Age,Gender,InterpenetrationFeedback,Part,Block,TrialInBlock,Trial,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Precision,Sensation,Pain,ActualValue
11,24,Female,Electrotactile,Part 1,0,6.5,6.5,1.5,0,3.7200042,7.5343811,2.4591736,0.027302239,0.022338394,0.013308112,0.70467224,1,1,0,7.5101013,0.003841663,0.8,1.2,1
11,24,Female,NoFeedback,Part 1,2,6.4,30.4,1.5,0,3.5722228,7.4910914,2.5792542,0.019237663,0.013366867,0.006923441,0.55744934,1,1,0,7.4672148,0.003144492,0.8,1.2,1
11,24,Female,Visual,Part 1,3,6.4,42.4,1.5,0,3.5622193,7.5188415,2.5139953,0.008279831,0.005909619,0.006319922,0.5467224,1,1,0,7.4927003,8.71E-04,0.8,1.2,1
11,24,Female,Both,Part 2,5,6.5,66.5,1.5,0,3.5966615,8.0585694,3.1136596,0.006437039,0.00475806,0.009011934,0.58242189,1,1,0,8.0348876,5.33E-04,1.3,1.8,1.6
11,24,Female,Electrotactile,Part 2,4,6.5,54.5,1.5,0,3.6122255,10.5208315,5.5183109,0.008507157,0.006507008,0.008628565,0.59661254,1,1,0,10.4972102,7.54E-04,1.3,1.8,1.6
11,24,Female,NoFeedback,Part 2,6,6.5,78.5,1.5,0,3.5489135,7.7420898,2.864917,0.014649511,0.010689844,0.005081033,0.53432617,1,1,0,7.7184204,0.002156276,1.3,1.8,1.6
11,24,Female,Visual,Part 2,7,6.5,90.5,1.5,0,3.6021973,8.1452026,3.1265015,0.007012375,0.005187493,0.008699027,0.58596191,1,1,0,8.1218017,7.56E-04,1.3,1.8,1.6
12,27,Female,Both,Part 1,0,6.1,6.1,1.5,0,3.5911133,6.9635072,2.0076386,0.011073724,0.008034462,0.004674071,0.57453003,1,1,0,6.9380644,0.00114815,3.1,4.5,3.9
12,27,Female,Electrotactile,Part 1,1,6.5,18.5,1.5,0,3.4988891,6.3305056,1.4916994,0.016731849,0.011029039,0.004850787,0.48375246,1,1,0,6.3066222,0.002976156,3.1,4.5,3.9
12,27,Female,NoFeedback,Part 1,3,6.5,42.5,1.5,0,3.5422241,6.3415953,1.4698303,0.016245958,0.01038252,0.004406294,0.52720338,1,1,0,6.3176514,0.002130462,3.1,4.5,3.9
