ID,Age,Gender,InterpenetrationFeedback,Part,Block,TrialInBlock,Trial,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Precision,Sensation,Pain,ActualValue
10,25,Other,Both,Part 2,6,6.4,78.4,1.5,0,3.6144593,7.4555237,2.2962523,-4.479684271600977,-4.997489776264373,0.005871618,0.59870606,1,1,0,7.4319152,-6.354533029079219,0.47000362924573563,0.9162907318741551,0.7419373447293773
10,25,Other,Electrotactile,Part 2,7,6.3,90.3,1.5,0,3.6144533,7.5233033,2.3476807,-4.450859718927493,-4.89660194640783,0.005619115,0.59938965,1,1,0,7.4997314,-6.424953891506541,0.47000362924573563,0.9162907318741551,0.7419373447293773
11,24,Female,Both,Part 1,1,6.5,18.5,1.5,0,3.643335,7.1945526,2.1899354,-4.364887000980199,-4.696738804172131,0.003062738,0.62789613,1,1,0,7.1693178,-6.457639993206107,-0.2231435513142097,0.1823215567939546,0
11,24,Female,Electrotactile,Part 1,0,6.5,6.5,1.5,0,3.7200042,7.5343811,2.4591736,-3.600786565502226,-3.8014483769135814,0.013308112,0.70467224,1,1,0,7.5101013,-5.5618499332148446,-0.2231435513142097,0.1823215567939546,0
11,24,Female,Both,Part 2,5,6.5,66.5,1.5,0,3.5966615,8.0585694,3.1136596,-5.0456866272070044,-5.347915256840402,0.009011934,0.58242189,1,1,0,8.0348876,-7.536989133798429,0.26236426446749106,0.5877866649021191,0.47000362924573563
11,24,Female,Electrotactile,Part 2,4,6.5,54.5,1.5,0,3.6122255,10.5208315,5.5183109,-4.76684746976901,-5.034875529024833,0.008628565,0.59661254,1,1,0,10.4972102,-7.190118189956318,0.26236426446749106,0.5877866649021191,0.47000362924573563
12,27,Female,Both,Part 1,0,6.1,6.1,1.5,0,3.5911133,6.9635072,2.0076386,-4.5031801841355845,-4.8240152390972355,0.004674071,0.57453003,1,1,0,6.9380644,-6.769603327599395,1.1314021114911006,1.5040773967762742,1.3609765531356006
12,27,Female,Electrotactile,Part 1,1,6.5,18.5,1.5,0,3.4988891,6.3305056,1.4916994,-4.090441250066383,-4.507223575532364,0.004850787,0.48375246,1,1,0,6.3066222,-5.817122744030299,1.1314021114911006,1.5040773967762742,1.3609765531356006
12,27,Female,Both,Part 2,4,6.3,54.3,1.5,0,3.6033325,6.5748597,1.6143676,-4.601412953235396,-4.9911681642495225,0.006883886,0.58865966,1,1,0,6.5512878,-6.7680159455582105,1.308332819650179,1.9878743481543455,1.7749523509116738
12,27,Female,Electrotactile,Part 2,5,6.2,66.2,1.5,0,3.4666747,6.3371581,1.5052369,-4.715472224215844,-5.192784705708043,0.006272364,0.45183107,1,1,0,6.3135743,-6.82956628838094,1.308332819650179,1.9878743481543455,1.7749523509116738
