ID,Age,Gender,InterpenetrationFeedback,Part,Block,TrialInBlock,Trial,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Precision
8,24,Male,Both,Part 2,4,6.3,54.3,1.5,0,3.7988831,9.4802067,3.9522766000000003,0.0094302275,0.0080005861,0.0089610564,0.78342895,1,1,0,9.4565923,7.577318e-4
14,24,Male,Both,Part 2,6,6.5,78.5,1.5,0.4,2.9666504,8.6572385,2.4235961,0.0093484672,0.0051130437,0.01928767,0.06954342199999998,1,1,0,8.6338136,0.0016368253
15,24,Male,Both,Part 2,5,6.5,66.5,1.5,0,3.5544374,7.7809265,2.6726135,0.0044191562000000005,0.0030896585,0.010444873,0.5385803100000001,1,1,0,7.7574282,6.627542e-4
24,24,Male,Both,Part 2,4,6.4,54.4,1.5,0,3.8766724,8.119757400000001,2.8517762,0.0078746417,0.005204061,0.0068921623,0.85958253,1,1,0,8.0952635,8.026723e-4
2,25,Male,Both,Part 2,6,6.2,78.2,1.5,0,3.5633239,7.3282166,2.3035401,0.0080067531,0.0060756793,0.0060055240999999995,0.55123291,1,1,0,7.3031371,7.219263e-4
4,25,Male,Both,Part 2,4,6.5,54.5,1.5,0,3.6722169,6.7370118,1.554309,0.02199826,0.016848290000000002,0.0081714828,0.65772704,1,1,0,6.7134766,0.0026786908
22,25,Male,Both,Part 2,6,6.1,78.1,1.5,0,3.7155397,10.240931100000001,4.926245,0.00729164,0.0056446108,0.0088109683,0.7001587300000001,1,1,0,10.2172245,6.41747e-4
5,28,Male,Both,Part 2,7,6.5,90.5,1.5,0,3.6177979000000002,7.5965698,2.4128786,0.0090996202,0.0063998642,0.0059337124,0.60196534,1,1,0,7.5729615,9.355132e-4
16,31,Male,Both,Part 2,4,6.4,54.4,1.5,0,3.6355591,8.9003905,3.6822388999999998,0.0099391661,0.0086414434,0.0103070842,0.61968994,1,1,0,8.8767458,6.908223e-4
18,31,Male,Both,Part 2,6,6.5,78.5,1.5,0,3.4766723,8.2263062,3.2151,0.0064631047,0.0047787476,0.0085885631,0.46132812,1,1,0,8.2027102,7.159656e-4
7,33,Male,Both,Part 2,5,6.3,66.3,1.5,0.1,3.5444516,7.6831971,2.6059264,0.0081187432,0.0059007071,0.0086586608,0.52835693,1,1,0,7.6596252,9.100598e-4
10,25,Other,Both,Part 2,6,6.4,78.4,1.5,0,3.6144593,7.4555237,2.2962523,0.0113369915,0.0067548824,0.0058716178,0.59870606,1,1,0,7.4319152,0.0017388466999999999
11,24,Female,Electrotactile,Part 2,4,6.5,54.5,1.5,0,3.6122255,10.5208315,5.5183108999999995,0.0085071572,0.0065070077,0.0086285649,0.59661254,1,1,0,10.4972102,7.537272e-4
